candidate_id	relative_path	source	genus	species	assembly_label	genome_role	size_bytes	mtime_ns
e1f5fa5bad42c187	legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1_hap2.GPZQ/genome/apipr.MO19963523.gnm1_hap2.GPZQ.genome_main.fna.gz	legume_family_legumeinfo	Apios	Apios priceana	MO19963523.gnm1_hap2.GPZQ	main	469485435	1780813150000000000
40be408a0bb7c2be	legume_family/legumeinfo/Arachis/cardenasii/K10017.gnm1.DQ4M/genome/araca.K10017.gnm1.DQ4M.genome_main.fna.gz	legume_family_legumeinfo	Arachis	Arachis cardenasii	K10017.gnm1.DQ4M	main	331284981	1780813130000000000
d36e222da4e0cfc3	legume_family/legumeinfo/Arachis/hypogaea/C76-16.gnm1.2559/genome/arahy.C76-16.gnm1.2559.genome_main.fna.gz	legume_family_legumeinfo	Arachis	Arachis hypogaea	C76-16.gnm1.2559	main	719429843	1780813753000000000
6f7311d80af7f768	legume_family/legumeinfo/Arachis/hypogaea/Fuhuasheng.gnm1.XX5Y/genome/arahy.Fuhuasheng.gnm1.XX5Y.genome_main.fna.gz	legume_family_legumeinfo	Arachis	Arachis hypogaea	Fuhuasheng.gnm1.XX5Y	main	651068267	1780813770000000000
1815273b5e4ad094	legume_family/legumeinfo/Arachis/hypogaea/Tifrunner.gnm1.KYV3/genome/arahy.Tifrunner.gnm1.KYV3.genome_softmasked.fna.gz	legume_family_legumeinfo	Arachis	Arachis hypogaea	Tifrunner.gnm1.KYV3	softmasked	163387295	1780813859000000000
751847692850cd02	legume_family/legumeinfo/Arachis/stenosperma/V10309.gnm1.PFL2/genome/arast.V10309.gnm1.PFL2.genome_main.fna.gz	legume_family_legumeinfo	Arachis	Arachis stenosperma	V10309.gnm1.PFL2	main	358968328	1780814291000000000
f6398ce580d52503	legume_family/legumeinfo/Cercis/canadensis/ISC453364.gnm3.GWXB/genome/cerca.ISC453364.gnm3.GWXB.genome_main.fna.gz	legume_family_legumeinfo	Cercis	Cercis canadensis	ISC453364.gnm3.GWXB	main	82876168	1780814319000000000
0d369ef4d174838f	legume_family/legumeinfo/Chamaecrista/fasciculata/ISC494698.gnm1_hap2.G6BY/genome/chafa.ISC494698.gnm1_hap2.G6BY.genome_main.fna.gz	legume_family_legumeinfo	Chamaecrista	Chamaecrista fasciculata	ISC494698.gnm1_hap2.G6BY	main	138457718	1780814501000000000
65686f241f0eecc0	legume_family/legumeinfo/Cicer/arietinum/ICC4958.gnm2.bg5m/genome/cicar.ICC4958.gnm2.bg5m.genome_main.fna.gz	legume_family_legumeinfo	Cicer	Cicer arietinum	ICC4958.gnm2.bg5m	main	140454150	1780814624000000000
4c64ec3551a311a5	legume_family/legumeinfo/Glycine/max/FiskebyIII.gnm1.F177/genome/glyma.FiskebyIII.gnm1.F177.genome_softmasked.fna.gz	legume_family_legumeinfo	Glycine	Glycine max	FiskebyIII.gnm1.F177	softmasked	305913422	1780816134000000000
5fc43579ee118d1d	legume_family/legumeinfo/Glycine/max/Lee.gnm1.BXNC/genome/glyma.Lee.gnm1.BXNC.genome_hardmasked.fna.gz	legume_family_legumeinfo	Glycine	Glycine max	Lee.gnm1.BXNC	generic_genome	171398074	1780816280000000000
9db5866248855507	legume_family/legumeinfo/Glycine/max/Peking.gnm3.KKCD/genome/glyma.Peking.gnm3.KKCD.genome_main.fna.gz	legume_family_legumeinfo	Glycine	Glycine max	Peking.gnm3.KKCD	main	298680050	1780816404000000000
c10c9293aea323f9	legume_family/legumeinfo/Glycine/max/Wm82.gnm1.FCtY/genome/glyma.Wm82.gnm1.FCtY.genome_hardmasked.fna.gz	legume_family_legumeinfo	Glycine	Glycine max	Wm82.gnm1.FCtY	generic_genome	154712233	1780816507000000000
fd31734f0f163667	legume_family/legumeinfo/Lens/ervoides/IG_72815.gnm1.ZDWF/genome/lener.IG_72815.gnm1.ZDWF.genome_main.fna.gz	legume_family_legumeinfo	Lens	Lens ervoides	IG_72815.gnm1.ZDWF	main	812267703	1780817232000000000
48a76a86f474a4e8	legume_family/legumeinfo/Medicago/polymorpha/Huaiyang_Jinhuacai.gnm1.ZH4B/genome/medpo.Huaiyang_Jinhuacai.gnm1.ZH4B.genome_main.fna.gz	legume_family_legumeinfo	Medicago	Medicago polymorpha	Huaiyang_Jinhuacai.gnm1.ZH4B	main	132614539	1780817017000000000
36b18a63110412aa	legume_family/legumeinfo/Medicago/sativa/CADL_HM342.gnm1.rVNY/genome/medsa.CADL_HM342.gnm1.rVNY.genome_main.fna.gz	legume_family_legumeinfo	Medicago	Medicago sativa	CADL_HM342.gnm1.rVNY	main	316349219	1780817280000000000
56309753cfc15648	legume_family/legumeinfo/Medicago/sativa/PI464715.gnm1.8GK6/genome/medsa.PI464715.gnm1.8GK6.genome_main.fna.gz	legume_family_legumeinfo	Medicago	Medicago sativa	PI464715.gnm1.8GK6	main	230322824	1780817290000000000
1a700e8353f7effb	legume_family/legumeinfo/Medicago/sativa/RegenSY27x.gnm1_hap3.VMY5/genome/medsa.RegenSY27x.gnm1_hap3.VMY5.genome_main.fna.gz	legume_family_legumeinfo	Medicago	Medicago sativa	RegenSY27x.gnm1_hap3.VMY5	main	194289143	1780817432000000000
ce4e54724b00d094	legume_family/legumeinfo/Medicago/truncatula/HM006.gnm1.XKYH/genome/medtr.HM006.gnm1.XKYH.genome_main.fna.gz	legume_family_legumeinfo	Medicago	Medicago truncatula	HM006.gnm1.XKYH	main	101551290	1780817756000000000
4996fa1f85d395b4	legume_family/legumeinfo/Medicago/truncatula/HM058.gnm1.JVBP/genome/medtr.HM058.gnm1.JVBP.genome_main.fna.gz	legume_family_legumeinfo	Medicago	Medicago truncatula	HM058.gnm1.JVBP	main	103127180	1780817930000000000
a199002370e78db1	legume_family/legumeinfo/Medicago/truncatula/HM060.gnm1.V7B2/genome/medtr.HM060.gnm1.V7B2.genome_main.fna.gz	legume_family_legumeinfo	Medicago	Medicago truncatula	HM060.gnm1.V7B2	main	104812829	1780817941000000000
2541638755aba373	legume_family/legumeinfo/Medicago/truncatula/HM095.gnm1.FBQK/genome/medtr.HM095.gnm1.FBQK.genome_main.fna.gz	legume_family_legumeinfo	Medicago	Medicago truncatula	HM095.gnm1.FBQK	main	106198021	1780817967000000000
152a73331c68496b	legume_family/legumeinfo/Phaseolus/acutifolius/W6_15578.gnm2.L2V4/genome/phaac.W6_15578.gnm2.L2V4.genome_main.fna.gz	legume_family_legumeinfo	Phaseolus	Phaseolus acutifolius	W6_15578.gnm2.L2V4	main	182970854	1780818161000000000
5cef0984c5c08369	legume_family/legumeinfo/Phaseolus/vulgaris/LaborOvalle.gnm1.VZZS/genome/phavu.LaborOvalle.gnm1.VZZS.genome_main.fna.gz	legume_family_legumeinfo	Phaseolus	Phaseolus vulgaris	LaborOvalle.gnm1.VZZS	main	169436607	1780818406000000000
2b995edfcb89c886	legume_family/legumeinfo/Pisum/sativum/ZW6.gnm1.D8R1/genome/pissa.ZW6.gnm1.D8R1.genome_main.fna.gz	legume_family_legumeinfo	Pisum	Pisum sativum	ZW6.gnm1.D8R1	main	963420627	1780818994000000000
cd49d0d6361370b4	legume_family/legumeinfo/Trifolium/pratense/HEN17-A07.gnm1.Y8WV/genome/tripr.HEN17-A07.gnm1.Y8WV.genome_main.fna.gz	legume_family_legumeinfo	Trifolium	Trifolium pratense	HEN17-A07.gnm1.Y8WV	main	127943328	1780818566000000000
6ad3d7c855c721ce	legume_family/legumeinfo/Vigna/angularis/Shumari.gnm1.V0CS/genome/vigan.Shumari.gnm1.V0CS.genome_main.fna.gz	legume_family_legumeinfo	Vigna	Vigna angularis	Shumari.gnm1.V0CS	main	149771819	1780818971000000000
58455bfa5108783d	legume_family/legumeinfo/Vigna/radiata/VC1973A.gnm7.SB53/genome/vigra.VC1973A.gnm7.SB53.genome_main.fna.gz	legume_family_legumeinfo	Vigna	Vigna radiata	VC1973A.gnm7.SB53	main	141675625	1780819146000000000
2ca78acb5d4cc2d1	legume_family/legumeinfo/Vigna/radiata/Weilv-9.gnm1.5TZZ/genome/vigra.Weilv-9.gnm1.5TZZ.genome_main.fna.gz	legume_family_legumeinfo	Vigna	Vigna radiata	Weilv-9.gnm1.5TZZ	main	123948275	1780819148000000000
a51067f67f6a4cc7	legume_family/ncbi/Abrus_pulchellus_subsp._cantoniensis/ASM2363444v1/genome/GCA_023634445.1_ASM2363444v1_genomic.fna.gz	legume_family_ncbi	Abrus	Abrus pulchellus subsp. cantoniensis	ASM2363444v1	ncbi_genomic	116542453	1780827421000000000
1b93544fbbeb7d5d	legume_family/ncbi/Abrus_pulchellus_subsp._cantoniensis/ASM2408682v1/genome/GCA_024086825.1_ASM2408682v1_genomic.fna.gz	legume_family_ncbi	Abrus	Abrus pulchellus subsp. cantoniensis	ASM2408682v1	ncbi_genomic	116542430	1780827439000000000
