relative_path	kind	file_type	size_bytes	mtime_ns	link_target	mode_octal
legume_family/legumeinfo/Aeschynomene/evenia/CIAT22838.gnm1.XF73/genome/aesev.CIAT22838.gnm1.XF73.genome_main.fna.gz	file	fasta	94634541	1780812051000000000		-rw-rw-r--
legume_family/legumeinfo/Aeschynomene/evenia/CIAT22838.gnm1.XF73/gff3/aesev.CIAT22838.gnm1.XF73.gcv_genome.gff3.gz	file	annotation	358	1780811948000000000		-rw-rw-r--
legume_family/legumeinfo/Aeschynomene/evenia/CIAT22838.gnm1.ann1.ZM3R/bed/aesev.CIAT22838.gnm1.ann1.ZM3R.gene_models_main.bed.gz	file	interval	428891	1780811944000000000		-rw-rw-r--
legume_family/legumeinfo/Aeschynomene/evenia/CIAT22838.gnm1.ann1.ZM3R/cds/aesev.CIAT22838.gnm1.ann1.ZM3R.cds.fna.gz	file	fasta	13194032	1780811950000000000		-rw-rw-r--
legume_family/legumeinfo/Aeschynomene/evenia/CIAT22838.gnm1.ann1.ZM3R/cds/aesev.CIAT22838.gnm1.ann1.ZM3R.cds_primary.fna.gz	file	fasta	13194358	1780811950000000000		-rw-rw-r--
legume_family/legumeinfo/Aeschynomene/evenia/CIAT22838.gnm1.ann1.ZM3R/functional_iprscan/aesev.CIAT22838.gnm1.ann1.ZM3R.iprscan.gff3.gz	file	annotation	5724532	1780811946000000000		-rw-rw-r--
legume_family/legumeinfo/Aeschynomene/evenia/CIAT22838.gnm1.ann1.ZM3R/gene_family/aesev.CIAT22838.gnm1.ann1.ZM3R.legfed_v1_0.M65K.gfa.tsv.gz	file	other	429473	1780811944000000000		-rw-rw-r--
legume_family/legumeinfo/Aeschynomene/evenia/CIAT22838.gnm1.ann1.ZM3R/gene_family/aesev.CIAT22838.gnm1.ann1.ZM3R.legume.fam3.VLMQ.gfa.tsv.gz	file	other	789792	1780811945000000000		-rw-rw-r--
legume_family/legumeinfo/Aeschynomene/evenia/CIAT22838.gnm1.ann1.ZM3R/gff3/aesev.CIAT22838.gnm1.ann1.ZM3R.gene_models_main.gff3.gz	file	annotation	8925719	1780811947000000000		-rw-rw-r--
legume_family/legumeinfo/Aeschynomene/evenia/CIAT22838.gnm1.ann1.ZM3R/mrna/aesev.CIAT22838.gnm1.ann1.ZM3R.mrna.fna.gz	file	fasta	12575509	1780811950000000000		-rw-rw-r--
legume_family/legumeinfo/Aeschynomene/evenia/CIAT22838.gnm1.ann1.ZM3R/mrna/aesev.CIAT22838.gnm1.ann1.ZM3R.mrna_primary.fna.gz	file	fasta	12575502	1780811952000000000		-rw-rw-r--
legume_family/legumeinfo/Aeschynomene/evenia/CIAT22838.gnm1.ann1.ZM3R/protein/aesev.CIAT22838.gnm1.ann1.ZM3R.protein.faa.gz	file	other	8907896	1780811951000000000		-rw-rw-r--
legume_family/legumeinfo/Aeschynomene/evenia/CIAT22838.gnm1.ann1.ZM3R/protein/aesev.CIAT22838.gnm1.ann1.ZM3R.protein_primary.faa.gz	file	other	8687537	1780811951000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/americana/LA2127.gnm1.KVMK/genome/apiam.LA2127.gnm1.KVMK.genome_main.fna.gz	file	fasta	387875832	1780812334000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/americana/LA2127.gnm1.KVMK/genome/apiam.LA2127.gnm1.KVMK.genome_softmasked.fna.gz	file	fasta	424141536	1780812387000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/americana/LA2127.gnm1.ann1.QKWH/bed/apiam.LA2127.gnm1.ann1.QKWH.gene_models_main.bed.gz	file	interval	351278	1780811953000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/americana/LA2127.gnm1.ann1.QKWH/cds/apiam.LA2127.gnm1.ann1.QKWH.cds.fna.gz	file	fasta	9907724	1780811953000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/americana/LA2127.gnm1.ann1.QKWH/cds/apiam.LA2127.gnm1.ann1.QKWH.cds_primary.fna.gz	file	fasta	9263975	1780811956000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/americana/LA2127.gnm1.ann1.QKWH/functional_iprscan/apiam.LA2127.gnm1.ann1.QKWH.iprscan.gff3.gz	file	annotation	5617762	1780811956000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/americana/LA2127.gnm1.ann1.QKWH/gene_family/apiam.LA2127.gnm1.ann1.QKWH.legume.fam3.VLMQ.gfa.tsv.gz	file	other	369068	1780811953000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/americana/LA2127.gnm1.ann1.QKWH/gff3/apiam.LA2127.gnm1.ann1.QKWH.gene_models_main.gff3.gz	file	annotation	10038535	1780811957000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/americana/LA2127.gnm1.ann1.QKWH/mrna/apiam.LA2127.gnm1.ann1.QKWH.mrna.fna.gz	file	fasta	9906818	1780811959000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/americana/LA2127.gnm1.ann1.QKWH/mrna/apiam.LA2127.gnm1.ann1.QKWH.mrna_primary.fna.gz	file	fasta	9263973	1780811960000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/americana/LA2127.gnm1.ann1.QKWH/protein/apiam.LA2127.gnm1.ann1.QKWH.protein.faa.gz	file	other	5930550	1780811958000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/americana/LA2127.gnm1.ann1.QKWH/protein/apiam.LA2127.gnm1.ann1.QKWH.protein_primary.faa.gz	file	other	5709737	1780811959000000000		-rw-rw-r--
