candidate_id	sequence_name	start_0based	end_0based_exclusive	length	sources	status
01bd34ba2a35deea	glyma.Ooyachi2.gnm3.chr14	29280635	29280669	34	univec	MASK
01bd34ba2a35deea	glyma.Ooyachi2.gnm3.chr18	57959823	57959853	30	univec	MASK
01bd34ba2a35deea	glyma.Ooyachi2.gnm3.chr19	46500768	46500799	31	univec	MASK
0b4f69cb2f7e7490	lupal.Amiga.gnm1.Lalb_Chr02	1521408	1521440	32	univec	MASK
0dd3c819f44b67d7	glyma.Wm82.gnm5.Chr14	29397503	29397537	34	univec	MASK
0dd3c819f44b67d7	glyma.Wm82.gnm5.Chr18	58249223	58249253	30	univec	MASK
0dd3c819f44b67d7	glyma.Wm82.gnm5.Chr19	49528967	49528998	31	univec	MASK
0de0accd36af9193	glyma.ZhangChunManCangJin.gnm1.Chr14	29156941	29156975	34	univec	MASK
0de0accd36af9193	glyma.ZhangChunManCangJin.gnm1.Chr18	57942016	57942046	30	univec	MASK
0de0accd36af9193	glyma.ZhangChunManCangJin.gnm1.Chr19	47800118	47800149	31	univec	MASK
171869ade9f5b76e	glyma.Jinyuan_IGA1006.gnm1.chr01	59000000	59126831	126831	tiara:plastid	MASK
171869ade9f5b76e	glyma.Jinyuan_IGA1006.gnm1.chr14	29123646	29123680	34	univec	MASK
171869ade9f5b76e	glyma.Jinyuan_IGA1006.gnm1.chr18	58223959	58223989	30	univec	MASK
171869ade9f5b76e	glyma.Jinyuan_IGA1006.gnm1.chr19	47435619	47435650	31	univec	MASK
17884d0a84029a68	vicfa.Hedin2.gnm1.chr1L	22000000	23000000	1000000	tiara:prokarya	MASK
17884d0a84029a68	vicfa.Hedin2.gnm1.chr1S	107000000	108000000	1000000	tiara:archaea	MASK
17884d0a84029a68	vicfa.Hedin2.gnm1.chr1S	1128000000	1131000000	3000000	tiara:plastid	MASK
17884d0a84029a68	vicfa.Hedin2.gnm1.chr2	271000000	272000000	1000000	tiara:bacteria	MASK
1cac6cdef48a6b1e	glyma.DongNongNo_50.gnm1.Chr11	16063323	16063355	32	univec	MASK
1cac6cdef48a6b1e	glyma.DongNongNo_50.gnm1.Chr13	43281832	43281863	31	univec	MASK
1cac6cdef48a6b1e	glyma.DongNongNo_50.gnm1.Chr14	29282495	29282529	34	univec	MASK
1cac6cdef48a6b1e	glyma.DongNongNo_50.gnm1.Chr19	46409131	46409162	31	univec	MASK
1f214bea4d5a72fb	glyso.PI_578357.gnm1.Chr14	29261748	29261782	34	univec	MASK
1f214bea4d5a72fb	glyso.PI_578357.gnm1.Chr18	58021446	58021476	30	univec	MASK
1f214bea4d5a72fb	glyso.PI_578357.gnm1.Chr19	48062797	48062828	31	univec	MASK
24b40cf02b3d8889	glyma.Miyagishirome.gnm3.chr14	29820854	29820888	34	univec	MASK
24b40cf02b3d8889	glyma.Miyagishirome.gnm3.chr18	56587750	56587780	30	univec	MASK
24b40cf02b3d8889	glyma.Miyagishirome.gnm3.chr19	47068678	47068709	31	univec	MASK
257bdc8c02ae8e94	glyso.PI_562565.gnm1.Chr02	6007601	6007631	30	univec	MASK
257bdc8c02ae8e94	glyso.PI_562565.gnm1.Chr06	54000000	54334180	334180	tiara:plastid	MASK
257bdc8c02ae8e94	glyso.PI_562565.gnm1.Chr14	29420213	29420247	34	univec	MASK
257bdc8c02ae8e94	glyso.PI_562565.gnm1.Chr18	60622853	60622883	30	univec	MASK
257bdc8c02ae8e94	glyso.PI_562565.gnm1.Chr19	46579006	46579037	31	univec	MASK
26cafc21598b8a1f	glyma.XuDouNo_1.gnm1.Chr14	29473721	29473755	34	univec	MASK
26cafc21598b8a1f	glyma.XuDouNo_1.gnm1.Chr18	56628994	56629024	30	univec	MASK
26cafc21598b8a1f	glyma.XuDouNo_1.gnm1.Chr19	46834674	46834705	31	univec	MASK
29502e1062edfe93	medtr.R108.gnmHiC_1.chr2	8183998	8184028	30	univec	MASK
29502e1062edfe93	medtr.R108.gnmHiC_1.chr3	13610301	13610331	30	univec	MASK
29502e1062edfe93	medtr.R108.gnmHiC_1.chr3	26054527	26054557	30	univec	MASK
29502e1062edfe93	medtr.R108.gnmHiC_1.chr4	4388687	4388719	32	univec	MASK
29502e1062edfe93	medtr.R108.gnmHiC_1.chr4	32277262	32277292	30	univec	MASK
29502e1062edfe93	medtr.R108.gnmHiC_1.chr5	627439	627469	30	univec	MASK
29502e1062edfe93	medtr.R108.gnmHiC_1.chr7	32999313	32999346	33	univec	MASK
29502e1062edfe93	medtr.R108.gnmHiC_1.chr7	37515336	37515368	32	univec	MASK
29502e1062edfe93	medtr.R108.gnmHiC_1.chr8	40173033	40173068	35	univec	MASK
2ca78acb5d4cc2d1	vigra.Weilv-9.gnm1.chr01	36491625	36491656	31	univec	MASK
2ca78acb5d4cc2d1	vigra.Weilv-9.gnm1.chr04	5698428	5698460	32	univec	MASK
2ca78acb5d4cc2d1	vigra.Weilv-9.gnm1.chr08	71169810	71169840	30	univec	MASK
2ca78acb5d4cc2d1	vigra.Weilv-9.gnm1.chr09	5281427	5281458	31	univec	MASK
2ca78acb5d4cc2d1	vigra.Weilv-9.gnm1.chr10	13618804	13618834	30	univec	MASK
351b9be376cc7087	glyma.PI_398296.gnm1.Chr14	29210188	29210222	34	univec	MASK
351b9be376cc7087	glyma.PI_398296.gnm1.Chr19	47162377	47162408	31	univec	MASK
3ac8f18302bca5ce	glyma.Jack.gnm3.chr11	27480054	27480086	32	univec	MASK
3ac8f18302bca5ce	glyma.Jack.gnm3.chr18	56882576	56882606	30	univec	MASK
3ac8f18302bca5ce	glyma.Jack.gnm3.chr19	46827837	46827868	31	univec	MASK
3b922ebbef5d2263	glyma.Harosoy.gnm3.chr09	43066908	43066938	30	univec	MASK
3b922ebbef5d2263	glyma.Harosoy.gnm3.chr14	29677946	29677980	34	univec	MASK
3b922ebbef5d2263	glyma.Harosoy.gnm3.chr18	57092479	57092509	30	univec	MASK
3b922ebbef5d2263	glyma.Harosoy.gnm3.chr19	46744711	46744742	31	univec	MASK
3e10267861bb14ef	glyma.YuDouNo_22.gnm1.Chr08	50000000	50016765	16765	tiara:bacteria	MASK
3e10267861bb14ef	glyma.YuDouNo_22.gnm1.Chr14	29338826	29338860	34	univec	MASK
3e10267861bb14ef	glyma.YuDouNo_22.gnm1.Chr18	57260232	57260262	30	univec	MASK
3e10267861bb14ef	glyma.YuDouNo_22.gnm1.Chr19	47099228	47099259	31	univec	MASK
3f2bcde8b6efba1f	phavu.5-593.gnm1.Chr01	40813174	40813204	30	univec	MASK
3f2bcde8b6efba1f	phavu.5-593.gnm1.Chr04	0	1000000	1000000	tiara:bacteria	MASK
3f2bcde8b6efba1f	phavu.5-593.gnm1.Chr06	36000000	36171289	171289	tiara:bacteria	MASK
3f2bcde8b6efba1f	phavu.5-593.gnm1.Chr08	63000000	63277170	277170	tiara:bacteria	MASK
3f2bcde8b6efba1f	phavu.5-593.gnm1.Chr09	31999790	31999820	30	univec	MASK
3f2bcde8b6efba1f	phavu.5-593.gnm1.Chr10	0	1000000	1000000	tiara:bacteria	MASK
539814fd4ada940f	glyma.Fukuyutaka.gnm3.chr02	6036703	6036733	30	univec	MASK
539814fd4ada940f	glyma.Fukuyutaka.gnm3.chr06	20808781	20808812	31	univec	MASK
539814fd4ada940f	glyma.Fukuyutaka.gnm3.chr14	29531348	29531382	34	univec	MASK
539814fd4ada940f	glyma.Fukuyutaka.gnm3.chr14	38154534	38154574	40	univec	MASK
539814fd4ada940f	glyma.Fukuyutaka.gnm3.chr18	56942782	56942812	30	univec	MASK
539814fd4ada940f	glyma.Fukuyutaka.gnm3.chr19	46772956	46772987	31	univec	MASK
56bc7c342b765b44	glyso.PI_549046.gnm1.Chr14	29825914	29825948	34	univec	MASK
56bc7c342b765b44	glyso.PI_549046.gnm1.Chr15	53563400	53563431	31	univec	MASK
56bc7c342b765b44	glyso.PI_549046.gnm1.Chr18	57597969	57597999	30	univec	MASK
56bc7c342b765b44	glyso.PI_549046.gnm1.Chr19	47548144	47548175	31	univec	MASK
5844dd514643bfc4	glyma.FiskebyIII.gnm1.Gm14	29587087	29587121	34	univec	MASK
5844dd514643bfc4	glyma.FiskebyIII.gnm1.Gm18	57869291	57869321	30	univec	MASK
5844dd514643bfc4	glyma.FiskebyIII.gnm1.Gm19	46722028	46722059	31	univec	MASK
5f25bd9cfe3467d5	glyma.QiHuangNo_34.gnm1.Chr14	29258347	29258381	34	univec	MASK
5f25bd9cfe3467d5	glyma.QiHuangNo_34.gnm1.Chr18	56793339	56793369	30	univec	MASK
5f25bd9cfe3467d5	glyma.QiHuangNo_34.gnm1.Chr19	48341956	48341987	31	univec	MASK
61894c4aea5cf5df	glyma.Zhutwinning2.gnm1.Chr14	29298821	29298855	34	univec	MASK
61894c4aea5cf5df	glyma.Zhutwinning2.gnm1.Chr18	56565627	56565657	30	univec	MASK
61894c4aea5cf5df	glyma.Zhutwinning2.gnm1.Chr19	47411386	47411417	31	univec	MASK
667ae3303395f049	glyma.JiDouNo_17.gnm1.Chr14	29642540	29642574	34	univec	MASK
667ae3303395f049	glyma.JiDouNo_17.gnm1.Chr18	60393638	60393668	30	univec	MASK
667ae3303395f049	glyma.JiDouNo_17.gnm1.Chr19	47376721	47376752	31	univec	MASK
6935c73bd3792804	glyma.Kosuzu.gnm3.chr07	27618371	27618400	29	univec	MASK
6935c73bd3792804	glyma.Kosuzu.gnm3.chr18	56637277	56637307	30	univec	MASK
6935c73bd3792804	glyma.Kosuzu.gnm3.chr19	46816567	46816598	31	univec	MASK
6ad3d7c855c721ce	vigan.Shumari.gnm1.Chr08	13103097	13103128	31	univec	MASK
6ad3d7c855c721ce	vigan.Shumari.gnm1.Chr11	6094738	6094768	30	univec	MASK
6b1673473c52ff69	glyma.Tanba.gnm3.chr04	24670198	24670230	32	univec	MASK
6b1673473c52ff69	glyma.Tanba.gnm3.chr14	29401894	29401928	34	univec	MASK
6b1673473c52ff69	glyma.Tanba.gnm3.chr18	56678573	56678603	30	univec	MASK
6b1673473c52ff69	glyma.Tanba.gnm3.chr19	46653799	46653830	31	univec	MASK
6d38dcb5c92d95c2	glyma.Wm82_NJAU.gnm1.Gm14	29389268	29389302	34	univec	MASK
6d38dcb5c92d95c2	glyma.Wm82_NJAU.gnm1.Gm18	57466329	57466359	30	univec	MASK
6d38dcb5c92d95c2	glyma.Wm82_NJAU.gnm1.Gm19	49490526	49490557	31	univec	MASK
723b79a6bb0fbe82	medtr.HM078.gnm1.Chr_3	7409560	7409591	31	univec	MASK
723b79a6bb0fbe82	medtr.HM078.gnm1.Chr_4	20000000	22000000	2000000	tiara:archaea	MASK
723b79a6bb0fbe82	medtr.HM078.gnm1.Chr_6	1236191	1236223	32	univec	MASK
723b79a6bb0fbe82	medtr.HM078.gnm1.Chr_7	26820889	26820922	33	univec	MASK
723b79a6bb0fbe82	medtr.HM078.gnm1.Chr_7	44663234	44663266	32	univec	MASK
751847692850cd02	arast.V10309.gnm1.chr01	24865183	24865213	30	univec	MASK
751847692850cd02	arast.V10309.gnm1.chr03	40759994	40760026	32	univec	MASK
751847692850cd02	arast.V10309.gnm1.chr04	32172151	32172183	32	univec	MASK
751847692850cd02	arast.V10309.gnm1.chr04	150346085	150346119	34	univec	MASK
751847692850cd02	arast.V10309.gnm1.chr06	36776452	36776484	32	univec	MASK
751847692850cd02	arast.V10309.gnm1.chr10	10924085	10924123	38	univec	MASK
838679e55c2d0890	glyma.Lee.gnm3.Chr14	29269661	29269695	34	univec	MASK
838679e55c2d0890	glyma.Lee.gnm3.Chr18	57998300	57998330	30	univec	MASK
838679e55c2d0890	glyma.Lee.gnm3.Chr19	49239691	49239722	31	univec	MASK
85b481ae24b243fe	glyma.ZiHuaNo_4.gnm1.Chr14	29210076	29210110	34	univec	MASK
85b481ae24b243fe	glyma.ZiHuaNo_4.gnm1.Chr18	56762910	56762940	30	univec	MASK
85b481ae24b243fe	glyma.ZiHuaNo_4.gnm1.Chr19	47941661	47941692	31	univec	MASK
887fc38a30f65f36	glyma.FengDiHuang.gnm1.Chr14	29290603	29290637	34	univec	MASK
887fc38a30f65f36	glyma.FengDiHuang.gnm1.Chr18	58237574	58237604	30	univec	MASK
887fc38a30f65f36	glyma.FengDiHuang.gnm1.Chr19	47298529	47298560	31	univec	MASK
8948693e7614b9a0	glyma.Amsoy.gnm1.Chr14	29308249	29308283	34	univec	MASK
8948693e7614b9a0	glyma.Amsoy.gnm1.Chr15	13148439	13148470	31	univec	MASK
8948693e7614b9a0	glyma.Amsoy.gnm1.Chr18	57022566	57022596	30	univec	MASK
8948693e7614b9a0	glyma.Amsoy.gnm1.Chr19	46863489	46863520	31	univec	MASK
8c21e283eca8cf3b	glyma.HeiHeNo_43.gnm1.Chr14	29164168	29164202	34	univec	MASK
8c21e283eca8cf3b	glyma.HeiHeNo_43.gnm1.Chr18	57267444	57267474	30	univec	MASK
8c21e283eca8cf3b	glyma.HeiHeNo_43.gnm1.Chr19	47541074	47541105	31	univec	MASK
8d0c2b4f173cd9e7	cerch.GXIB.gnm1.Chr1	35290961	35290992	31	univec	MASK
8d0c2b4f173cd9e7	cerch.GXIB.gnm1.Chr1	52000000	52527084	527084	tiara:archaea	MASK
8d0c2b4f173cd9e7	cerch.GXIB.gnm1.Chr2	19683674	19683704	30	univec	MASK
8d0c2b4f173cd9e7	cerch.GXIB.gnm1.Chr2	45763708	45763738	30	univec	MASK
