annotation_id	source_kind	relative_path	member_name	source	material	annotation_role	is_primary_gene_model	paired_genome_ids	format	feature_count	gene_count	transcript_count	cds_count	exon_count	duplicate_gene_id_count	malformed_line_count	invalid_coordinate_count	file_sha256	status
00f09bfd982e4b39	file	legume_family/legumeinfo/Medicago/truncatula/A17.gnm5.ann1_6.L2RX/gff3/medtr.A17.gnm5.ann1_6.L2RX.gene_models_main.gff3.gz	.	legume_family_legumeinfo	legume_family_legumeinfo|Medicago|truncatula|A17.gnm5	gene_models_main	True	abec76950f46db19	GFF3	524325	44623	44623	174461	186814	0	0	0	bbc1dd4d6faac5a777dfe3efbf6a38299b7ccccce40b75156134c1a660739cd0	PASS
0165f825df40f696	zip_member	soyod/Hei_He_43/gff/Hei_He_43.annotation.zip	Hei_He_43.annotation.gff	soyod	Hei_He_43	soyod_gene_models	True	16d3df40c0fb0fb5	GFF3	1237788	57976	84236	442870	487892	0	0	0	9d247016d52e19c66e28e8e396c29a54f9f95cc22f56b3762e8e7f10b56e3f2b	PASS
016d16cc57f88ca0	file	legume_family/legumeinfo/Glycine/max/Fukuyutaka.gnm3.ann1.RWJM/gff3/glyma.Fukuyutaka.gnm3.ann1.RWJM.gene_models_main.gff3.gz	.	legume_family_legumeinfo	legume_family_legumeinfo|Glycine|max|Fukuyutaka.gnm3	gene_models_main	True	539814fd4ada940f	GFF3	977241	55618	71285	372054	412382	0	0	0	7964fc024439c6cdf4ac8ab3459ac3f83fdbace6a16dd6a75f456c41be4530ce	PASS
01e3b5edbd9f9eb8	file	legume_family/legumeinfo/Vigna/unguiculata/IT97K-499-35.gnm1.ann1.zb5D/gff3/vigun.IT97K-499-35.gnm1.ann1.zb5D.gene_models_main.gff3.gz	.	legume_family_legumeinfo	legume_family_legumeinfo|Vigna|unguiculata|IT97K-499-35.gnm1	gene_models_main	True	47a848e10053271a;509eba810398551d;adf452fa93f14a03	GFF3	679577	29773	42287	244526	266089	0	0	0	90a3851bd1e61011b3178e986c777725fbe48a1f6a01aed93a789aa401f6b6eb	PASS
021fdfc2f05dbcbd	file	legume_family/legumeinfo/Vigna/unguiculata/CB5-2.gnm1.ann1.0GKC/gff3/vigun.CB5-2.gnm1.ann1.0GKC.gene_models_main.gff3.gz	.	legume_family_legumeinfo	legume_family_legumeinfo|Vigna|unguiculata|CB5-2.gnm1	gene_models_main	True	9570ca5030231e0b	GFF3	441799	28297	44149	271263	0	0	0	0	587794d37e63f52c59ea6f6d91873da3390f8d5e302241670905756f5c967c79	PASS
0268567bd758fb3a	file	soyomics/Jin_Dou_No.23/gff/SoyC07.gene.gff.gz	.	soyomics	soyomics|Jin_Dou_No.23	soyomics_gene	True	344392ed9e30329b	GFF3	1191358	54792	78364	432214	474429	0	0	0	cdc65e204a808f45b3de68841001c530fd76cd15e8982706f0e6c4497d9b3aa5	PASS
028d62520b2179fc	file	soyomics/Shi_Sheng_Chang_Ye/gff/SoyL09.gene.gff.gz	.	soyomics	soyomics|Shi_Sheng_Chang_Ye	soyomics_gene	True	ada35111938e8946	GFF3	1314635	59588	88175	476024	520616	0	0	0	814fb9515c86e929b8d38472b3cdf32d310c9ffec13ffcf6f2cb7ed81774bdb4	PASS
02b2b1b9618262d8	file	legume_family/legumeinfo/Phaseolus/coccineus/PHA8298.gnm1.ann1.0Q14/functional_iprscan/phaco.PHA8298.gnm1.ann1.0Q14.iprscan.gff3.gz	.	legume_family_legumeinfo	legume_family_legumeinfo|Phaseolus|coccineus|PHA8298.gnm1	functional_iprscan	False	e5375bfc431af7c0;f03b025238e1f030;fc8d57c1319bc410	GFF3	241791	0	0	0	0	0	0	0	778bc0416c0e471c6da12453bb2911261b3a43dc40947cb11c2a5290ac6ece4d	PASS
02d16c81c4a63231	file	soyomics/Jin_Dou_No.23/ncrna/SoyC07.ncRNA.gff3.gz	.	soyomics	soyomics|Jin_Dou_No.23	noncoding	False	344392ed9e30329b	GFF3	8612	3747	0	0	0	0	8	0	2b8c5efcca8be51b6721e2d0c4bbaeb01881c4babe0624a50f1a0d73bb129e9e	PASS
03c7db1f2c881f97	file	legume_family/ncbi/Clitoria_ternatea/Cter_1/gff3/GCA_037962975.1_Cter_1_genomic.gff.gz	.	legume_family_ncbi	legume_family_ncbi|Clitoria_ternatea|Cter_1	ncbi_genomic	True	90867f909324c225	GFF3	406354	27271	33565	169351	169351	0	0	0	6b67d16faf4d04186335999d5fe9f15109f265e2c6925d7a6f5f767df7445640	PASS
03e60c30795c9d61	file	legume_family/legumeinfo/Arachis/hypogaea/C76-16.gnm1.ann1.5MP1/gff3/arahy.C76-16.gnm1.ann1.5MP1.gene_models_main.gff3.gz	.	legume_family_legumeinfo	legume_family_legumeinfo|Arachis|hypogaea|C76-16.gnm1	gene_models_main	True	d36e222da4e0cfc3	GFF3	917188	78388	78388	371786	388626	0	0	0	209e954049c976b931d7e004f245ce17a475f4327433eadd2126c6b876cfa084	PASS
047996d4d0b54544	file	legumeinfo/Wm82.gnm1.ann1.DvBy/gff3/glyma.Wm82.gnm1.ann1.DvBy.gene_models_main.gff3.gz	.	legumeinfo	legumeinfo|Wm82.gnm1	gene_models_main	True	6d05c41e960f6f2d	GFF3	692301	54175	73320	412262	0	0	0	0	3673e4eb9b79ada6e64c62bd88ceec659c24dd7d261386025c1b556d8887d795	PASS
049ded4b0686a50a	file	legumeinfo/Lee.gnm3.ann1.ZYY3/functional_iprscan/glyma.Lee.gnm3.ann1.ZYY3.iprscan.gff3.gz	.	legumeinfo	legumeinfo|Lee.gnm3	functional_iprscan	False	838679e55c2d0890	GFF3	372593	0	0	0	0	0	0	0	02beb624836cc26be9c8e5159119987a6ee3a8d22e8c76a979e2c37c60d8e7dd	PASS
04cebe08c15720c4	file	soyomics/Zhonghuang_13/ncrna/ZH13.ncRNA.gff3.gz	.	soyomics	soyomics|Zhonghuang_13	noncoding	False	cd1f3d99dc8ab1e9	GFF3	8178	3740	0	0	0	0	0	1888	83920a32bb9343000f52f4408f0aaf994be9c73644bdffffe3fc1ba4667adf84	PASS
04d046a47f2cc89a	file	soyomics/Wan_Dou_No.28/gff/SoyC04.gene.gff.gz	.	soyomics	soyomics|Wan_Dou_No.28	soyomics_gene	True	a88823175a32a147	GFF3	1221368	57777	83011	442999	483448	0	0	0	31976eea3108b2867be6f0f513a363954dc17df02fe50e91d51fa2ee7b0e2e77	PASS
05812814b4fa2961	zip_member	soyod/Chang_Chun_Man_Cang_Jin/gff/Chang_Chun_Man_Cang_Jin.annotation.zip	Chang_Chun_Man_Cang_Jin.annotation.gff	soyod	Chang_Chun_Man_Cang_Jin	soyod_gene_models	True	.	GFF3	1269719	56573	82758	464151	506838	0	0	0	f6b9ce94bbe972f261b676ea5da0504d6c18752aa9c6d4958985d80494270716	PASS
078128f7075f2b7c	file	legume_family/legumeinfo/Glycine/max/Wm82.gnm6.ann1.PKSW/repeat/glyma.Wm82.gnm6.ann1.PKSW.repeatmasked_assembly.gff3.gz	.	legume_family_legumeinfo	legume_family_legumeinfo|Glycine|max|Wm82.gnm6	repeat	False	3a5158bf3c83620a;9e9731a85804e094	UNKNOWN	0	0	0	0	0	0	0	0	d079906378251d29409f7f0f691113fd3b0049b5927b713e2704ca44ac743d48	PASS
07e0523008c00b28	file	legume_family/ncbi/Arachis_hypogaea/HN873/gff3/GCA_039852645.1_HN873_genomic.gff.gz	.	legume_family_ncbi	legume_family_ncbi|Arachis_hypogaea|HN873	ncbi_genomic	True	4645d6726b4bfd2d	GFF3	822436	73196	73196	338012	338012	0	0	0	2097619a90cbfd1a945bf09fc45f6b2715008c2e4dfe405746aa8065d9f86d7d	PASS
07e0891e5c55b465	file	legume_family/legumeinfo/Glycine/max/Enrei.gnm3.ann1.YRG3/gff3/glyma.Enrei.gnm3.ann1.YRG3.noncoding.gff3.gz	.	legume_family_legumeinfo	legume_family_legumeinfo|Glycine|max|Enrei.gnm3	noncoding	False	96468b4838f74d0d	GFF3	11779	4735	2228	0	2298	0	0	0	a26709c8b6efb399708aae860b992cd6a6bf3ebee1ac94a9cf5abf2b5a7a0403	PASS
08478f0af259837d	file	legume_family/legumeinfo/Glycine/max/Enrei.gnm3.ann1.YRG3/gff3/glyma.Enrei.gnm3.ann1.YRG3.scaffolds.gff3.gz	.	legume_family_legumeinfo	legume_family_legumeinfo|Glycine|max|Enrei.gnm3	other_annotation	False	96468b4838f74d0d	GFF3	1957	248	223	687	721	0	0	0	712d9729515ef773f9331b6b547784998e055d0391e5653cff2830528dc15e0d	PASS
08a7405785c372ff	file	legume_family/legumeinfo/Medicago/truncatula/HM004.gnm1.ann1.2XTB/gff3/medtr.HM004.gnm1.ann1.2XTB.gene_models_main.gff3.gz	.	legume_family_legumeinfo	legume_family_legumeinfo|Medicago|truncatula|HM004.gnm1	gene_models_main	True	b84460a5cde04c1a	GFF3	622824	64157	64157	247255	247255	0	0	0	ccc4a6a4e77cff0c536e4aef1dd50283dbec379c1f473a219b002d2cf34f1cf9	PASS
093452220c3c07c0	file	legume_family/ncbi/Lupinus_angustifolius/ASM228589v1/gff3/GCA_002285895.1_ASM228589v1_genomic.gff.gz	.	legume_family_ncbi	legume_family_ncbi|Lupinus_angustifolius|ASM228589v1	ncbi_genomic	True	28848ab5829075a7	GFF3	20	0	0	0	0	0	0	0	f391ed7dd65e375070d3c784f203fbd530164b33bc6b486be801eca352ab66cf	PASS
