candidate_id	source_kind	source	relative_path	member_name	species	genus	material_key	orientation_group_id	near_duplicate_group_id	near_duplicate_group_size	assembly_evidence	assembly_tier	assembly_evidence_pending	official_assembly_level	official_assembly_report	assembly_accession	t2t_label	base_count	callable_bases	n_fraction	contig_count	n50	large_sequence_fraction	long_callable_fraction	strict_annotation_count	annotation_id	annotation_source	annotation_path	annotation_member_name	annotation_gene_count	hard_gate_pass	hard_gate_reasons	store_manifest_sha256	nonoverlap_windows_1024	nonoverlap_windows_8192	nonoverlap_windows_32768	nonoverlap_windows_65536	nonoverlap_windows_131072	nonoverlap_windows_262144	selection_status	store_set_sha256
0105841b3d761b8a	file	legume_family_ncbi	legume_family/ncbi/Trigonella_corniculata/NBPGR_Kmethi_1/genome/GCA_047302345.1_NBPGR_Kmethi_1_genomic.fna.gz	.	Trigonella corniculata	Trigonella	nbpgrkmethi1	orientation-fa37d7ea093c2020	near-0105841b3d761b8a	1	chromosome_official	3	False	Chromosome	data/raw/legume_family/ncbi/Trigonella_corniculata/NBPGR_Kmethi_1/assembly_report/GCA_047302345.1_NBPGR_Kmethi_1_assembly_report.txt	GCA_047302345.1	False	798664075	798645394	2.339030962423094e-05	282	99641310	0.9893839158847855	0.8666304059345767	0	.	.	.	.	0	False	strict_annotation_count_0	f6458c05a03bbc03e4e42aadd95875021d5124913d17416d275e7d29e5ab167c	778987	96564	23420	11211	5233	2344	REJECTED_HARD_GATE	952a85b9ff59c34a36a166ba77de1badb579be62753af7857d719a56b539b31c
01095238acb23a90	file	legume_family_ncbi	legume_family/ncbi/Ononis_reclinata/drOnoRecl1.hap1.1/genome/GCA_965197055.1_drOnoRecl1.hap1.1_genomic.fna.gz	.	Ononis reclinata	Ononis	dronorecl1hap11	orientation-fcb7c3e5b0abdaec	near-01095238acb23a90	1	chromosome_official	3	False	Chromosome	data/raw/legume_family/ncbi/Ononis_reclinata/drOnoRecl1.hap1.1/assembly_report/GCA_965197055.1_drOnoRecl1.hap1.1_assembly_report.txt	GCA_965197055.1	False	1196663988	1196449988	0.00017883048386678783	97	39932449	0.9977251291696764	0.9665196210441184	0	.	.	.	.	0	False	strict_annotation_count_0	d70c592a144852d5c619f28e1ef1f8f14e76bff3baafaa2957e74700eefb860e	1167820	145477	35933	17652	8586	4062	REJECTED_HARD_GATE	952a85b9ff59c34a36a166ba77de1badb579be62753af7857d719a56b539b31c
0134cd3270bdfc7a	file	legume_family_ncbi	legume_family/ncbi/Glycine_canescens/Gcan.1.0/genome/GCA_054131505.1_Gcan.1.0_genomic.fna.gz	.	Glycine canescens	Glycine	gcan10	orientation-e55a3cd511b2afe9	near-0134cd3270bdfc7a	1	chromosome_official	3	False	Chromosome	data/raw/legume_family/ncbi/Glycine_canescens/Gcan.1.0/assembly_report/GCA_054131505.1_Gcan.1.0_assembly_report.txt	GCA_054131505.1	False	938253710	938244883	9.407903113966904e-06	182	46505517	0.9857045883676815	0.9878036595697586	0	.	.	.	.	0	False	strict_annotation_count_0	aa044e5592d90249bbe49be79421decc69f2a8e65e1e56da4e1cb25af2f0211e	915994	114265	28366	14062	6920	3348	REJECTED_HARD_GATE	952a85b9ff59c34a36a166ba77de1badb579be62753af7857d719a56b539b31c
01bd34ba2a35deea	file	legume_family_legumeinfo	legume_family/legumeinfo/Glycine/max/Ooyachi2.gnm3.3469/genome/glyma.Ooyachi2.gnm3.3469.genome_main.fna.gz	.	Glycine max	Glycine	ooyachi2	orientation-0d237db9b0874f0c	near-01bd34ba2a35deea	1	structural_proxy	2	True	UNVERIFIED	.	.	False	981128142	981109952	1.853988202083393e-05	20	49797328	1.0	0.9962718918582533	1	40944901d25fcda4	legume_family_legumeinfo	legume_family/legumeinfo/Glycine/max/Ooyachi2.gnm3.ann1.6929/gff3/glyma.Ooyachi2.gnm3.ann1.6929.gene_models_main.gff3.gz	.	56664	True	.	22feebae5d559e0cddd5b70ba5842418f1cfa8b93cb6b1917a8443502234737a	958013	119667	29836	14873	7383	3644	SELECTED	952a85b9ff59c34a36a166ba77de1badb579be62753af7857d719a56b539b31c
027c09fbd90a132f	zip_member	soyod	soyod/ZH13_T2T-2/genome/ZH13_T2T-2.genome.zip	ZH13_T2T-2.genome.fasta	Glycine max	Glycine	zh13	orientation-3515fe47eb7779cf	near-027c09fbd90a132f	8	t2t_label	5	True	UNVERIFIED	.	.	True	1015024879	1015024879	0.0	20	52033905	1.0	1.0	0	.	.	.	.	0	False	strict_annotation_count_0	bb4b8b3d590bc132c4f482db4454d2cea6813b9cd5d43f552ee743b1173601cc	991224	123894	30966	15476	7733	3863	REJECTED_HARD_GATE	952a85b9ff59c34a36a166ba77de1badb579be62753af7857d719a56b539b31c
02f77fe85874d9d1	file	legume_family_ncbi	legume_family/ncbi/Medicago_lupulina/drMedLupu1.1/genome/GCA_958299785.1_drMedLupu1.1_genomic.fna.gz	.	Medicago lupulina	Medicago	drmedlupu11	orientation-289fa8f13cbe8aa1	near-02f77fe85874d9d1	1	chromosome_official	3	False	Chromosome	data/raw/legume_family/ncbi/Medicago_lupulina/drMedLupu1.1/assembly_report/GCA_958299785.1_drMedLupu1.1_assembly_report.txt	GCA_958299785.1	False	575848570	575755570	0.00016150079177933878	20	69616069	0.9900511743912119	0.9776855341581845	0	.	.	.	.	0	False	strict_annotation_count_0	bba57288a2fe99294298f34be453b8c1d0ef9fb6992b35158609a9df882f98e6	562027	70047	17319	8566	4191	2017	REJECTED_HARD_GATE	952a85b9ff59c34a36a166ba77de1badb579be62753af7857d719a56b539b31c
048deac0b41ba782	file	legume_family_ncbi	legume_family/ncbi/Piptanthus_nepalensis/ASM5594430v1/genome/GCA_055944305.1_ASM5594430v1_genomic.fna.gz	.	Piptanthus nepalensis	Piptanthus	asm5594430v1	orientation-dd028ae41726e500	near-048deac0b41ba782	1	chromosome_official	3	False	Chromosome	data/raw/legume_family/ncbi/Piptanthus_nepalensis/ASM5594430v1/assembly_report/GCA_055944305.1_ASM5594430v1_assembly_report.txt	GCA_055944305.1	False	1040133159	1040127259	5.6723506494806405e-06	168	111527884	0.989825965157986	0.9883971168954817	0	.	.	.	.	0	False	strict_annotation_count_0	8ed71cf819cf4d9d39e3511242fb8dae45b629d886347c00643d18199f124ae4	1015638	126854	31626	15749	7837	3897	REJECTED_HARD_GATE	952a85b9ff59c34a36a166ba77de1badb579be62753af7857d719a56b539b31c
05ad07a362bbaf87	file	legume_family_ncbi	legume_family/ncbi/Amphicarpaea_edgeworthii/ASM1484372v1/genome/GCA_014843725.1_ASM1484372v1_genomic.fna.gz	.	Amphicarpaea edgeworthii	Amphicarpaea	asm1484372v1	orientation-ef633b708d0c82d7	near-05ad07a362bbaf87	1	chromosome_official	3	False	Chromosome	data/raw/legume_family/ncbi/Amphicarpaea_edgeworthii/ASM1484372v1/assembly_report/GCA_014843725.1_ASM1484372v1_assembly_report.txt	GCA_014843725.1	False	299059313	299040813	6.186063832762166e-05	24	27224559	0.9967645481750973	0.9964301060136564	0	.	.	.	.	0	False	strict_annotation_count_0	4e06fd22a5b085d132e88857c316a16402035667a18d379bb70449fe66b78975	292002	36475	9093	4535	2250	1115	REJECTED_HARD_GATE	952a85b9ff59c34a36a166ba77de1badb579be62753af7857d719a56b539b31c
07fae578244baa68	file	legume_family_ncbi	legume_family/ncbi/Cicer_arietinum/ASM34727v3/genome/GCA_000347275.3_ASM34727v3_genomic.fna.gz	.	Cicer arietinum	Cicer	asm34727v3	orientation-bddc23d93d7be931	near-07fae578244baa68	4	chromosome_official	3	False	Chromosome	data/raw/legume_family/ncbi/Cicer_arietinum/ASM34727v3/assembly_report/GCA_000347275.3_ASM34727v3_assembly_report.txt	GCA_000347275.3	False	510877095	466527474	0.08681074456861293	38511	39901017	0.6537765957191719	0.003029399293212901	0	.	.	.	.	0	False	strict_annotation_count_0	8b23f571051774124d2d96f6311641d357f04df1ba5ecb9b4edcc587c36ba777	420930	35875	4275	995	127	5	REJECTED_HARD_GATE	952a85b9ff59c34a36a166ba77de1badb579be62753af7857d719a56b539b31c
09d64a35cfa9497a	file	legume_family_ncbi	legume_family/ncbi/Medicago_sativa/ASM4841850v1/genome/GCA_048418505.1_ASM4841850v1_genomic.fna.gz	.	Medicago sativa	Medicago	asm4841850v1	orientation-f5f755c2727c0f37	near-09d64a35cfa9497a	1	chromosome_official	3	False	Chromosome	data/raw/legume_family/ncbi/Medicago_sativa/ASM4841850v1/assembly_report/GCA_048418505.1_ASM4841850v1_assembly_report.txt	GCA_048418505.1	False	861559612	861425269	0.00015593001125962716	27	107909033	0.9813214607836097	0.9288853308527684	0	.	.	.	.	0	False	strict_annotation_count_0	f2cc94189261722cd12dc9b457a0c3aaf10b09415bdcd6586d65723ee0b9e64f	840544	104487	25617	12430	5941	2728	REJECTED_HARD_GATE	952a85b9ff59c34a36a166ba77de1badb579be62753af7857d719a56b539b31c
