left_candidate_id	right_candidate_id	left_binomial	right_binomial	same_binomial	left_material_key	right_material_key	jaccard	classification
027c09fbd90a132f	0dd3c819f44b67d7	Glycine max	Glycine max	True	zh13	wm82	0.86466114	related
027c09fbd90a132f	0de0accd36af9193	Glycine max	Glycine max	True	zh13	zhangchunmancangjin	0.83552180	related
027c09fbd90a132f	0df156cb56003e79	Glycine max	Glycine max	True	zh13	whfsgmwf710	0.84070856	related
027c09fbd90a132f	171869ade9f5b76e	Glycine max	Glycine max	True	zh13	jinyuaniga1006	0.85036814	related
027c09fbd90a132f	18614e22cfd1167a	Glycine max	Glycine max	True	zh13	glycinemaxv21	0.85355054	related
027c09fbd90a132f	1be2867072344ebf	Glycine max	Glycine max	True	zh13	gmbrs537a1v2	0.84000000	related
027c09fbd90a132f	2206735389f8037c	Glycine max	Glycine max	True	zh13	gmaxgtjackrs1	0.84183052	related
027c09fbd90a132f	26cafc21598b8a1f	Glycine max	Glycine max	True	zh13	xudouno1	0.81028559	related
027c09fbd90a132f	2c2bfa188a2ecbed	Glycine max	Glycine max	True	zh13	wm82	0.85563197	related
027c09fbd90a132f	351b9be376cc7087	Glycine max	Glycine max	True	zh13	pi398296	0.81738200	related
027c09fbd90a132f	355a2916e13df156	Glycine max	Glycine max	True	zh13	lee	0.86033343	related
027c09fbd90a132f	384c291022a64cb6	Glycine max	Glycine max	True	zh13	whfsgmzh1310	0.98846272	near_duplicate
027c09fbd90a132f	3a6e64fc6de3d765	Glycine max	Glycine max	True	zh13	enreiv330	0.84357647	related
027c09fbd90a132f	3b5c89322ad7aa01	Glycine max	Glycine max	True	zh13	lee	0.86033343	related
027c09fbd90a132f	3e10267861bb14ef	Glycine max	Glycine max	True	zh13	yudouno22	0.86606678	related
027c09fbd90a132f	3eb46282b0082eb1	Glycine max	Glycine max	True	zh13	wm82	0.85438313	related
027c09fbd90a132f	40ba57c2e078fb9d	Glycine max	Glycine max	True	zh13	glymaleev20	0.86027653	related
027c09fbd90a132f	42e6902fc05e0c1a	Glycine max	Glycine max	True	zh13	yundou1	0.89906466	related
027c09fbd90a132f	473d96afd6793658	Glycine max	Glycine max	True	zh13	whfsgmjy10	0.85036814	related
027c09fbd90a132f	484ac27242746eae	Glycine max	Glycine max	True	zh13	zh13	0.99249905	near_duplicate
027c09fbd90a132f	4c64ec3551a311a5	Glycine max	Glycine max	True	zh13	fiskebyiii	0.84369028	related
027c09fbd90a132f	5844dd514643bfc4	Glycine max	Glycine max	True	zh13	fiskebyiii	0.84369028	related
027c09fbd90a132f	5f25bd9cfe3467d5	Glycine max	Glycine max	True	zh13	qihuangno34	0.81134603	related
027c09fbd90a132f	5f7c4f84932c68e5	Glycine max	Glycine max	True	zh13	wm82	0.86665661	related
027c09fbd90a132f	60946b7f75fef429	Glycine max	Glycine max	True	zh13	gmaxzh13v20	0.98054955	near_duplicate
027c09fbd90a132f	65cb087a2c0df3b2	Glycine max	Glycine max	True	zh13	tianlong1	0.87407245	related
027c09fbd90a132f	667ae3303395f049	Glycine max	Glycine max	True	zh13	jidouno17	0.85071055	related
027c09fbd90a132f	6d05c41e960f6f2d	Glycine max	Glycine max	True	zh13	wm82	0.85438313	related
027c09fbd90a132f	6d38dcb5c92d95c2	Glycine max	Glycine max	True	zh13	wm82njau	0.86532873	related
027c09fbd90a132f	6e568fc7addcdb8c	Glycine max	Glycine max	True	zh13	zh13	0.98053532	near_duplicate
027c09fbd90a132f	716e480d13e4dbdc	Glycine max	Glycine max	True	zh13	glycinemaxv40	0.85541129	related
027c09fbd90a132f	738786ee98895b23	Glycine max	Glycine max	True	zh13	v10	0.85438712	related
027c09fbd90a132f	740dfddc17e524d3	Glycine max	Glycine max	True	zh13	pi594527platinumchromosomesfasta	0.86219999	related
027c09fbd90a132f	75250b112de08448	Glycine max	Glycine max	True	zh13	wm82	0.85378190	related
027c09fbd90a132f	7cbd110bc3a62d6c	Glycine max	Glycine max	True	zh13	whfsgmhf2510	0.85553903	related
027c09fbd90a132f	82ce90eea621c1cb	Glycine max	Glycine max	True	zh13	hwangkeum	0.84714114	related
027c09fbd90a132f	838679e55c2d0890	Glycine max	Glycine max	True	zh13	lee	0.86797244	related
027c09fbd90a132f	84b734e351285496	Glycine max	Glycine max	True	zh13	zh13	0.98608599	near_duplicate
027c09fbd90a132f	871fd28ea67a2de5	Glycine max	Glycine max	True	zh13	whfsgmw8210	0.85957575	related
027c09fbd90a132f	887fc38a30f65f36	Glycine max	Glycine max	True	zh13	fengdihuang	0.83714420	related
027c09fbd90a132f	8948693e7614b9a0	Glycine max	Glycine max	True	zh13	amsoy	0.85831913	related
027c09fbd90a132f	897c7e04cd83ff6e	Glycine max	Glycine max	True	zh13	v11	0.85425865	related
027c09fbd90a132f	8c21e283eca8cf3b	Glycine max	Glycine max	True	zh13	heiheno43	0.82132599	related
027c09fbd90a132f	9065b12aa8b08a62	Glycine max	Glycine max	True	zh13	asm4080195v1	0.88842345	related
027c09fbd90a132f	91ea3a5d896e6648	Glycine max	Glycine max	True	zh13	glycinemaxv20	0.85355054	related
027c09fbd90a132f	96468b4838f74d0d	Glycine max	Glycine max	True	zh13	enrei	0.84321216	related
027c09fbd90a132f	98cf7f6c3f3626e4	Glycine max	Glycine max	True	zh13	zh13iga1005	0.98846272	near_duplicate
027c09fbd90a132f	a1031c671efeadfc	Glycine max	Glycine max	True	zh13	shishengchangye	0.84956135	related
027c09fbd90a132f	a5e485b56aa79b8f	Glycine max	Glycine max	True	zh13	whfsgmzh3510	0.89159148	related
027c09fbd90a132f	a8412af2ff4cd5ed	Glycine max	Glycine max	True	zh13	handouno5	0.86577842	related
027c09fbd90a132f	aacea7c6039184ef	Glycine max	Glycine max	True	zh13	wenfeng7iga1001	0.84070856	related
027c09fbd90a132f	ae8f30e37611692d	Glycine max	Glycine max	True	zh13	tiefengno18	0.81328357	related
027c09fbd90a132f	b503a63d15d33fea	Glycine max	Glycine max	True	zh13	juxuanno23	0.81974146	related
027c09fbd90a132f	b659b2f851a1f246	Glycine max	Glycine max	True	zh13	embgmbrs53710	0.82947461	related
027c09fbd90a132f	bb5dcc92012e8623	Glycine max	Glycine max	True	zh13	tongshantianedan	0.81559720	related
027c09fbd90a132f	c54fb54176965d99	Glycine max	Glycine max	True	zh13	wm82	0.85563197	related
027c09fbd90a132f	ca6a965855822565	Glycine max	Glycine max	True	zh13	asm2211499v1	0.85609656	related
027c09fbd90a132f	d1dc3503d3fab1b3	Glycine max	Glycine max	True	zh13	glymalee	0.86033343	related
027c09fbd90a132f	d4ed1350b181bf96	Glycine max	Glycine max	True	zh13	58161	0.85982355	related
027c09fbd90a132f	d743659d2310fe55	Glycine max	Glycine max	True	zh13	pi548362	0.83777047	related
027c09fbd90a132f	d7abe2eb0f698c46	Glycine max	Glycine max	True	zh13	jd17	0.86043173	related
027c09fbd90a132f	d8e304252bf5b6c7	Glycine max	Glycine max	True	zh13	zh35iga1004	0.89159148	related
027c09fbd90a132f	d9e3d4cd719a05e5	Glycine max	Glycine max	True	zh13	hefeng25iga1002	0.85553903	related
027c09fbd90a132f	da2190d8185c2216	Glycine max	Glycine max	True	zh13	jindouno23	0.81239213	related
027c09fbd90a132f	dea07cd7cbf98e50	Glycine max	Glycine max	True	zh13	gmaxzh13	0.98637372	near_duplicate
027c09fbd90a132f	e75b0684f432e271	Glycine max	Glycine max	True	zh13	wandouno28	0.81689897	related
027c09fbd90a132f	e7e022605327ebb2	Glycine max	Glycine max	True	zh13	tiejiasilihuang	0.83977766	related
027c09fbd90a132f	e8cbc86c9a41df2f	Glycine max	Glycine max	True	zh13	huaxia3iga1007	0.87686428	related
027c09fbd90a132f	eac340c47f32c565	Glycine max	Glycine max	True	zh13	asm5677679v1	0.89030216	related
027c09fbd90a132f	f0ec01b9e4056bfc	Glycine max	Glycine max	True	zh13	wm82iga1008	0.85957575	related
027c09fbd90a132f	f23ce0d142345d64	Glycine max	Glycine max	True	zh13	keshanno1	0.82444659	related
027c09fbd90a132f	fca2e8d89b64453f	Glycine max	Glycine max	True	zh13	whfsgmhx310	0.87686428	related
07fae578244baa68	2179c531b0a9a43e	Cicer arietinum	Cicer arietinum	True	asm34727v3	cdcfrontier	0.88358997	related
07fae578244baa68	65686f241f0eecc0	Cicer arietinum	Cicer arietinum	True	asm34727v3	icc4958	1.00000000	near_duplicate
07fae578244baa68	80f28833ba23bc37	Cicer arietinum	Cicer arietinum	True	asm34727v3	cicarcdcfrontierv20	0.88355643	related
07fae578244baa68	91d9e7a5c6007f1c	Cicer arietinum	Cicer arietinum	True	asm34727v3	asm34727v2	1.00000000	near_duplicate
07fae578244baa68	bb15a599a0eb78f9	Cicer arietinum	Cicer arietinum	True	asm34727v3	cdcfrontier	0.87042574	related
07fae578244baa68	c3cea47e840df975	Cicer arietinum	Cicer arietinum	True	asm34727v3	cdcfrontier	0.88358363	related
07fae578244baa68	dce236484b0e2d4b	Cicer arietinum	Cicer arietinum	True	asm34727v3	asm34727v4	0.99997099	near_duplicate
07fae578244baa68	e486629c3f951323	Cicer arietinum	Cicer arietinum	True	asm34727v3	asm33114v1	0.88363805	related
0b4f69cb2f7e7490	497b450b64c4d6f9	Lupinus albus	Lupinus albus	True	amiga	cnrslalb10	1.00000000	near_duplicate
0b4f69cb2f7e7490	789b7b4de543e431	Lupinus albus	Lupinus albus	True	amiga	laamiga31	0.80870751	related
0d369ef4d174838f	338b426684d64480	Chamaecrista fasciculata	Chamaecrista fasciculata	True	isc494698	isc494698	1.00000000	near_duplicate
0dd3c819f44b67d7	0de0accd36af9193	Glycine max	Glycine max	True	wm82	zhangchunmancangjin	0.86341077	related
0dd3c819f44b67d7	0df156cb56003e79	Glycine max	Glycine max	True	wm82	whfsgmwf710	0.82998388	related
0dd3c819f44b67d7	171869ade9f5b76e	Glycine max	Glycine max	True	wm82	jinyuaniga1006	0.86303019	related
0dd3c819f44b67d7	18614e22cfd1167a	Glycine max	Glycine max	True	wm82	glycinemaxv21	0.97614746	near_duplicate
0dd3c819f44b67d7	1be2867072344ebf	Glycine max	Glycine max	True	wm82	gmbrs537a1v2	0.88865684	related
0dd3c819f44b67d7	2206735389f8037c	Glycine max	Glycine max	True	wm82	gmaxgtjackrs1	0.90559543	related
0dd3c819f44b67d7	2c2bfa188a2ecbed	Glycine max	Glycine max	True	wm82	wm82	0.97958229	near_duplicate
0dd3c819f44b67d7	351b9be376cc7087	Glycine max	Glycine max	True	wm82	pi398296	0.81628423	related
0dd3c819f44b67d7	355a2916e13df156	Glycine max	Glycine max	True	wm82	lee	0.88416671	related
0dd3c819f44b67d7	384c291022a64cb6	Glycine max	Glycine max	True	wm82	whfsgmzh1310	0.86085338	related
0dd3c819f44b67d7	3a6e64fc6de3d765	Glycine max	Glycine max	True	wm82	enreiv330	0.84664507	related
0dd3c819f44b67d7	3b5c89322ad7aa01	Glycine max	Glycine max	True	wm82	lee	0.88416671	related
0dd3c819f44b67d7	3e10267861bb14ef	Glycine max	Glycine max	True	wm82	yudouno22	0.83197526	related
0dd3c819f44b67d7	3eb46282b0082eb1	Glycine max	Glycine max	True	wm82	wm82	0.97722932	near_duplicate
0dd3c819f44b67d7	40ba57c2e078fb9d	Glycine max	Glycine max	True	wm82	glymaleev20	0.88408319	related
0dd3c819f44b67d7	42e6902fc05e0c1a	Glycine max	Glycine max	True	wm82	yundou1	0.85271518	related
0dd3c819f44b67d7	473d96afd6793658	Glycine max	Glycine max	True	wm82	whfsgmjy10	0.86303019	related
0dd3c819f44b67d7	484ac27242746eae	Glycine max	Glycine max	True	wm82	zh13	0.86509504	related
0dd3c819f44b67d7	4c64ec3551a311a5	Glycine max	Glycine max	True	wm82	fiskebyiii	0.84502285	related
0dd3c819f44b67d7	5844dd514643bfc4	Glycine max	Glycine max	True	wm82	fiskebyiii	0.84502285	related
0dd3c819f44b67d7	5f25bd9cfe3467d5	Glycine max	Glycine max	True	wm82	qihuangno34	0.81154402	related
0dd3c819f44b67d7	5f7c4f84932c68e5	Glycine max	Glycine max	True	wm82	wm82	0.99659530	near_duplicate
0dd3c819f44b67d7	60946b7f75fef429	Glycine max	Glycine max	True	wm82	gmaxzh13v20	0.85475035	related
0dd3c819f44b67d7	61894c4aea5cf5df	Glycine max	Glycine max	True	wm82	zhutwinning2	0.82117499	related
0dd3c819f44b67d7	65cb087a2c0df3b2	Glycine max	Glycine max	True	wm82	tianlong1	0.86007338	related
0dd3c819f44b67d7	667ae3303395f049	Glycine max	Glycine max	True	wm82	jidouno17	0.89282109	related
0dd3c819f44b67d7	6b1673473c52ff69	Glycine max	Glycine max	True	wm82	tanba	0.80392388	related
0dd3c819f44b67d7	6d05c41e960f6f2d	Glycine max	Glycine max	True	wm82	wm82	0.97722932	near_duplicate
0dd3c819f44b67d7	6d38dcb5c92d95c2	Glycine max	Glycine max	True	wm82	wm82njau	0.99149640	near_duplicate
0dd3c819f44b67d7	6e568fc7addcdb8c	Glycine max	Glycine max	True	wm82	zh13	0.85473873	related
0dd3c819f44b67d7	716e480d13e4dbdc	Glycine max	Glycine max	True	wm82	glycinemaxv40	0.97936849	near_duplicate
0dd3c819f44b67d7	738786ee98895b23	Glycine max	Glycine max	True	wm82	v10	0.97728764	near_duplicate
0dd3c819f44b67d7	740dfddc17e524d3	Glycine max	Glycine max	True	wm82	pi594527platinumchromosomesfasta	0.83628056	related
0dd3c819f44b67d7	75250b112de08448	Glycine max	Glycine max	True	wm82	wm82	0.97637405	near_duplicate
0dd3c819f44b67d7	7cbd110bc3a62d6c	Glycine max	Glycine max	True	wm82	whfsgmhf2510	0.86818756	related
0dd3c819f44b67d7	82ce90eea621c1cb	Glycine max	Glycine max	True	wm82	hwangkeum	0.86879002	related
0dd3c819f44b67d7	838679e55c2d0890	Glycine max	Glycine max	True	wm82	lee	0.89216095	related
0dd3c819f44b67d7	84b734e351285496	Glycine max	Glycine max	True	wm82	zh13	0.85906398	related
0dd3c819f44b67d7	871fd28ea67a2de5	Glycine max	Glycine max	True	wm82	whfsgmw8210	0.98301923	near_duplicate
0dd3c819f44b67d7	887fc38a30f65f36	Glycine max	Glycine max	True	wm82	fengdihuang	0.85060058	related
0dd3c819f44b67d7	8948693e7614b9a0	Glycine max	Glycine max	True	wm82	amsoy	0.82920021	related
0dd3c819f44b67d7	897c7e04cd83ff6e	Glycine max	Glycine max	True	wm82	v11	0.97713095	near_duplicate
0dd3c819f44b67d7	8c21e283eca8cf3b	Glycine max	Glycine max	True	wm82	heiheno43	0.83637074	related
0dd3c819f44b67d7	9065b12aa8b08a62	Glycine max	Glycine max	True	wm82	asm4080195v1	0.85819775	related
0dd3c819f44b67d7	91ea3a5d896e6648	Glycine max	Glycine max	True	wm82	glycinemaxv20	0.97614746	near_duplicate
0dd3c819f44b67d7	96468b4838f74d0d	Glycine max	Glycine max	True	wm82	enrei	0.84618505	related
0dd3c819f44b67d7	98cf7f6c3f3626e4	Glycine max	Glycine max	True	wm82	zh13iga1005	0.86085338	related
0dd3c819f44b67d7	a1031c671efeadfc	Glycine max	Glycine max	True	wm82	shishengchangye	0.84829450	related
0dd3c819f44b67d7	a5e485b56aa79b8f	Glycine max	Glycine max	True	wm82	whfsgmzh3510	0.83225261	related
0dd3c819f44b67d7	a8412af2ff4cd5ed	Glycine max	Glycine max	True	wm82	handouno5	0.84469000	related
0dd3c819f44b67d7	aacea7c6039184ef	Glycine max	Glycine max	True	wm82	wenfeng7iga1001	0.82998388	related
0dd3c819f44b67d7	ae8f30e37611692d	Glycine max	Glycine max	True	wm82	tiefengno18	0.87134888	related
0dd3c819f44b67d7	b503a63d15d33fea	Glycine max	Glycine max	True	wm82	juxuanno23	0.82079212	related
0dd3c819f44b67d7	b659b2f851a1f246	Glycine max	Glycine max	True	wm82	embgmbrs53710	0.87752926	related
0dd3c819f44b67d7	bb5dcc92012e8623	Glycine max	Glycine max	True	wm82	tongshantianedan	0.81984265	related
0dd3c819f44b67d7	c54fb54176965d99	Glycine max	Glycine max	True	wm82	wm82	0.97958229	near_duplicate
0dd3c819f44b67d7	ca6a965855822565	Glycine max	Glycine max	True	wm82	asm2211499v1	0.85017403	related
0dd3c819f44b67d7	d1dc3503d3fab1b3	Glycine max	Glycine max	True	wm82	glymalee	0.88416671	related
0dd3c819f44b67d7	d4ed1350b181bf96	Glycine max	Glycine max	True	wm82	58161	0.83408084	related
0dd3c819f44b67d7	d743659d2310fe55	Glycine max	Glycine max	True	wm82	pi548362	0.90907946	related
0dd3c819f44b67d7	d7abe2eb0f698c46	Glycine max	Glycine max	True	wm82	jd17	0.91365490	related
0dd3c819f44b67d7	d8e304252bf5b6c7	Glycine max	Glycine max	True	wm82	zh35iga1004	0.83225261	related
0dd3c819f44b67d7	d9e3d4cd719a05e5	Glycine max	Glycine max	True	wm82	hefeng25iga1002	0.86818756	related
0dd3c819f44b67d7	da2190d8185c2216	Glycine max	Glycine max	True	wm82	jindouno23	0.83513027	related
0dd3c819f44b67d7	dea07cd7cbf98e50	Glycine max	Glycine max	True	wm82	gmaxzh13	0.85929861	related
0dd3c819f44b67d7	e75b0684f432e271	Glycine max	Glycine max	True	wm82	wandouno28	0.85091768	related
0dd3c819f44b67d7	e7e022605327ebb2	Glycine max	Glycine max	True	wm82	tiejiasilihuang	0.85616280	related
0dd3c819f44b67d7	e8cbc86c9a41df2f	Glycine max	Glycine max	True	wm82	huaxia3iga1007	0.85526854	related
0dd3c819f44b67d7	eac340c47f32c565	Glycine max	Glycine max	True	wm82	asm5677679v1	0.85570369	related
0dd3c819f44b67d7	f0ec01b9e4056bfc	Glycine max	Glycine max	True	wm82	wm82iga1008	0.98301923	near_duplicate
0dd3c819f44b67d7	f23ce0d142345d64	Glycine max	Glycine max	True	wm82	keshanno1	0.84487332	related
0dd3c819f44b67d7	fca2e8d89b64453f	Glycine max	Glycine max	True	wm82	whfsgmhx310	0.85526854	related
0de0accd36af9193	0df156cb56003e79	Glycine max	Glycine max	True	zhangchunmancangjin	whfsgmwf710	0.82112020	related
0de0accd36af9193	171869ade9f5b76e	Glycine max	Glycine max	True	zhangchunmancangjin	jinyuaniga1006	0.86817640	related
0de0accd36af9193	18614e22cfd1167a	Glycine max	Glycine max	True	zhangchunmancangjin	glycinemaxv21	0.85392246	related
0de0accd36af9193	1be2867072344ebf	Glycine max	Glycine max	True	zhangchunmancangjin	gmbrs537a1v2	0.83254666	related
0de0accd36af9193	2206735389f8037c	Glycine max	Glycine max	True	zhangchunmancangjin	gmaxgtjackrs1	0.83540063	related
0de0accd36af9193	2c2bfa188a2ecbed	Glycine max	Glycine max	True	zhangchunmancangjin	wm82	0.85765334	related
0de0accd36af9193	355a2916e13df156	Glycine max	Glycine max	True	zhangchunmancangjin	lee	0.86123351	related
0de0accd36af9193	384c291022a64cb6	Glycine max	Glycine max	True	zhangchunmancangjin	whfsgmzh1310	0.83611905	related
0de0accd36af9193	3a6e64fc6de3d765	Glycine max	Glycine max	True	zhangchunmancangjin	enreiv330	0.82538668	related
0de0accd36af9193	3b5c89322ad7aa01	Glycine max	Glycine max	True	zhangchunmancangjin	lee	0.86123351	related
