candidate_id	source	species	genus	original_material_key	material_key	relative_path	member_name	annotation_id	annotation_path	annotation_member_name	assembly_evidence	official_assembly_level	base_count	n_fraction	n50	large_sequence_fraction	orientation_group_id	near_duplicate_group_id	candidate_near_duplicate_group_size	final_near_group_selected_size	sampling_weight	initial_hard_gate_pass	initial_hard_gate_reasons	annotation_closure_status	source_provenance_status	busco_status	annotation_busco_complete_percent	genome_busco_complete_percent	record_qc_status	primary_nuclear_fraction	tiara_primary_prokaryotic_fraction	univec_primary_fraction	qv_status	final_gate_pass	final_gate_reasons	provisional_selection_status	status
0105841b3d761b8a	legume_family_ncbi	Trigonella corniculata	Trigonella	nbpgrkmethi1	nbpgrkmethi1	legume_family/ncbi/Trigonella_corniculata/NBPGR_Kmethi_1/genome/GCA_047302345.1_NBPGR_Kmethi_1_genomic.fna.gz	.	.	.	.	chromosome_official	Chromosome	798664075	2.339030962423094e-05	99641310	0.9893839158847855	orientation-fa37d7ea093c2020	near-0105841b3d761b8a	1	.	.	False	strict_annotation_count_0	.	.	.	.	.	.	.	.	.	.	False	strict_annotation_count_0	REJECTED_HARD_GATE	REJECTED_HARD_GATE
01095238acb23a90	legume_family_ncbi	Ononis reclinata	Ononis	dronorecl1hap11	dronorecl1hap11	legume_family/ncbi/Ononis_reclinata/drOnoRecl1.hap1.1/genome/GCA_965197055.1_drOnoRecl1.hap1.1_genomic.fna.gz	.	.	.	.	chromosome_official	Chromosome	1196663988	0.00017883048386678783	39932449	0.9977251291696764	orientation-fcb7c3e5b0abdaec	near-01095238acb23a90	1	.	.	False	strict_annotation_count_0	.	.	.	.	.	.	.	.	.	.	False	strict_annotation_count_0	REJECTED_HARD_GATE	REJECTED_HARD_GATE
0134cd3270bdfc7a	legume_family_ncbi	Glycine canescens	Glycine	gcan10	gcan10	legume_family/ncbi/Glycine_canescens/Gcan.1.0/genome/GCA_054131505.1_Gcan.1.0_genomic.fna.gz	.	.	.	.	chromosome_official	Chromosome	938253710	9.407903113966904e-06	46505517	0.9857045883676815	orientation-e55a3cd511b2afe9	near-0134cd3270bdfc7a	1	.	.	False	strict_annotation_count_0	.	.	.	.	.	.	.	.	.	.	False	strict_annotation_count_0	REJECTED_HARD_GATE	REJECTED_HARD_GATE
01bd34ba2a35deea	legume_family_legumeinfo	Glycine max	Glycine	ooyachi2	ooyachi2	legume_family/legumeinfo/Glycine/max/Ooyachi2.gnm3.3469/genome/glyma.Ooyachi2.gnm3.3469.genome_main.fna.gz	.	40944901d25fcda4	legume_family/legumeinfo/Glycine/max/Ooyachi2.gnm3.ann1.6929/gff3/glyma.Ooyachi2.gnm3.ann1.6929.gene_models_main.gff3.gz	.	structural_proxy	UNVERIFIED	981128142	1.853988202083393e-05	49797328	1.0	orientation-0d237db9b0874f0c	near-01bd34ba2a35deea	1	1	1.0	True	.	PASS	PASS	PASS	94.2	98.8	PASS	1.0	0.0	9.6827e-08	UNAVAILABLE_NO_RAW_READS_OR_SOURCE_QV	True	.	SELECTED	SELECTED
027c09fbd90a132f	soyod	Glycine max	Glycine	zh13	zh13	soyod/ZH13_T2T-2/genome/ZH13_T2T-2.genome.zip	ZH13_T2T-2.genome.fasta	.	.	.	t2t_label	UNVERIFIED	1015024879	0.0	52033905	1.0	orientation-3515fe47eb7779cf	near-027c09fbd90a132f	8	.	.	False	strict_annotation_count_0	.	.	.	.	.	.	.	.	.	.	False	strict_annotation_count_0	REJECTED_HARD_GATE	REJECTED_HARD_GATE
02f77fe85874d9d1	legume_family_ncbi	Medicago lupulina	Medicago	drmedlupu11	drmedlupu11	legume_family/ncbi/Medicago_lupulina/drMedLupu1.1/genome/GCA_958299785.1_drMedLupu1.1_genomic.fna.gz	.	.	.	.	chromosome_official	Chromosome	575848570	0.00016150079177933878	69616069	0.9900511743912119	orientation-289fa8f13cbe8aa1	near-02f77fe85874d9d1	1	.	.	False	strict_annotation_count_0	.	.	.	.	.	.	.	.	.	.	False	strict_annotation_count_0	REJECTED_HARD_GATE	REJECTED_HARD_GATE
048deac0b41ba782	legume_family_ncbi	Piptanthus nepalensis	Piptanthus	asm5594430v1	asm5594430v1	legume_family/ncbi/Piptanthus_nepalensis/ASM5594430v1/genome/GCA_055944305.1_ASM5594430v1_genomic.fna.gz	.	.	.	.	chromosome_official	Chromosome	1040133159	5.6723506494806405e-06	111527884	0.989825965157986	orientation-dd028ae41726e500	near-048deac0b41ba782	1	.	.	False	strict_annotation_count_0	.	.	.	.	.	.	.	.	.	.	False	strict_annotation_count_0	REJECTED_HARD_GATE	REJECTED_HARD_GATE
05ad07a362bbaf87	legume_family_ncbi	Amphicarpaea edgeworthii	Amphicarpaea	asm1484372v1	asm1484372v1	legume_family/ncbi/Amphicarpaea_edgeworthii/ASM1484372v1/genome/GCA_014843725.1_ASM1484372v1_genomic.fna.gz	.	.	.	.	chromosome_official	Chromosome	299059313	6.186063832762166e-05	27224559	0.9967645481750973	orientation-ef633b708d0c82d7	near-05ad07a362bbaf87	1	.	.	False	strict_annotation_count_0	.	.	.	.	.	.	.	.	.	.	False	strict_annotation_count_0	REJECTED_HARD_GATE	REJECTED_HARD_GATE
07fae578244baa68	legume_family_ncbi	Cicer arietinum	Cicer	asm34727v3	asm34727v3	legume_family/ncbi/Cicer_arietinum/ASM34727v3/genome/GCA_000347275.3_ASM34727v3_genomic.fna.gz	.	.	.	.	chromosome_official	Chromosome	510877095	0.08681074456861293	39901017	0.6537765957191719	orientation-bddc23d93d7be931	near-07fae578244baa68	4	.	.	False	strict_annotation_count_0	.	.	.	.	.	.	.	.	.	.	False	strict_annotation_count_0	REJECTED_HARD_GATE	REJECTED_HARD_GATE
09d64a35cfa9497a	legume_family_ncbi	Medicago sativa	Medicago	asm4841850v1	asm4841850v1	legume_family/ncbi/Medicago_sativa/ASM4841850v1/genome/GCA_048418505.1_ASM4841850v1_genomic.fna.gz	.	.	.	.	chromosome_official	Chromosome	861559612	0.00015593001125962716	107909033	0.9813214607836097	orientation-f5f755c2727c0f37	near-09d64a35cfa9497a	1	.	.	False	strict_annotation_count_0	.	.	.	.	.	.	.	.	.	.	False	strict_annotation_count_0	REJECTED_HARD_GATE	REJECTED_HARD_GATE
0a5a35e474446d15	legume_family_legumeinfo	Medicago truncatula	Medicago	hm056	hm056	legume_family/legumeinfo/Medicago/truncatula/HM056.gnm1.JBKN/genome/medtr.HM056.gnm1.JBKN.genome_main.fna.gz	.	c82f67446f75bbc9	legume_family/legumeinfo/Medicago/truncatula/HM056.gnm1.ann1.CHP6/gff3/medtr.HM056.gnm1.ann1.CHP6.gene_models_main.gff3.gz	.	insufficient	UNVERIFIED	406705336	0.10774218610202842	718332	0.0	orientation-621e04a9d80fcb6c	near-0a5a35e474446d15	1	.	.	False	insufficient_chromosome_scale_evidence;n_fraction_above_limit	.	.	.	.	.	.	.	.	.	.	False	insufficient_chromosome_scale_evidence;n_fraction_above_limit	REJECTED_HARD_GATE	REJECTED_HARD_GATE
0b4f69cb2f7e7490	legume_family_legumeinfo	Lupinus albus	Lupinus	amiga	amiga	legume_family/legumeinfo/Lupinus/albus/Amiga.gnm1.F4NR/genome/lupal.Amiga.gnm1.F4NR.genome_main.fna.gz	.	a7a8a9892686fab6	legume_family/legumeinfo/Lupinus/albus/Amiga.gnm1.ann1.3GKS/gff3/lupal.Amiga.gnm1.ann1.3GKS.gene_models_main.gff3.gz	.	structural_proxy	UNVERIFIED	451529898	0.005023456940607729	17349171	0.9609571080938698	orientation-6c2ed7976c46cd22	near-0b4f69cb2f7e7490	2	1	1.0	True	.	PASS	PASS	PASS	95.7	98.2	PASS	0.960957108094	0.0	7.375e-08	UNAVAILABLE_NO_RAW_READS_OR_SOURCE_QV	True	.	SELECTED	SELECTED
0d0ef55ae6b0667a	legume_family_ncbi	Phaseolus coccineus	Phaseolus	pcoc1	pcoc1	legume_family/ncbi/Phaseolus_coccineus/Pcoc_1/genome/GCA_037954025.1_Pcoc_1_genomic.fna.gz	.	7fcdaefab3b9164b	legume_family/ncbi/Phaseolus_coccineus/Pcoc_1/gff3/GCA_037954025.1_Pcoc_1_genomic.gff.gz	.	chromosome_official	Chromosome	588672384	1.698737748159764e-05	52871251	0.9631612088669	orientation-dd0b00981d73e5dc	near-0d0ef55ae6b0667a	1	.	.	True	.	PASS	LICENSE_REVIEW_REQUIRED	.	.	.	.	.	.	.	.	False	source_provenance_license_review_required	SELECTED	REJECTED_HARD_GATE
0d369ef4d174838f	legume_family_legumeinfo	Chamaecrista fasciculata	Chamaecrista	isc494698	isc494698	legume_family/legumeinfo/Chamaecrista/fasciculata/ISC494698.gnm1_hap2.G6BY/genome/chafa.ISC494698.gnm1_hap2.G6BY.genome_main.fna.gz	.	fc497a726f5f33fd	legume_family/legumeinfo/Chamaecrista/fasciculata/ISC494698.gnm1_hap2.ann1.WXZF/gff3/chafa.ISC494698.gnm1_hap2.ann1.WXZF.gene_models_main.gff3.gz	.	structural_proxy	UNVERIFIED	564372522	0.001594694930948463	71910870	0.994043622130845	orientation-418663b00e474669	near-0d369ef4d174838f	2	.	.	True	.	PASS	LICENSE_REVIEW_REQUIRED	.	.	.	.	.	.	.	.	False	source_provenance_license_review_required	REJECTED_ORIENTATION_ALTERNATIVE	REJECTED_HARD_GATE
0d4bbe911fa24fe9	legume_family_ncbi	Strongylodon macrobotrys	Strongylodon	asm5281534v1	asm5281534v1	legume_family/ncbi/Strongylodon_macrobotrys/ASM5281534v1/genome/GCA_052815345.1_ASM5281534v1_genomic.fna.gz	.	.	.	.	complete_genome	Complete Genome	557645275	0.0	38949380	1.0	orientation-81751db8d008ccc0	near-0d4bbe911fa24fe9	1	.	.	False	strict_annotation_count_0	.	.	.	.	.	.	.	.	.	.	False	strict_annotation_count_0	REJECTED_HARD_GATE	REJECTED_HARD_GATE
